Key Parameters for LCOE Sensitivity Analysis,min LCOE,base LCOE,max LCOE,min value,base value,max value,color
CapEx ($/kW),78.66101955,116.6268656,141.6511876,3000,5411,7000,midnightblue
OpEx ($/kW/year),100.9176688,116.6268656,132.3360623,67,135,202,silver
Net Capacity Factor (%),103.9668717,116.6268656,163.3765126,55.0,49.0,35.0,deepskyblue
Discount Rate (nominal) [%],101.9096562,116.6268656,132.8368269,4.96,6.61,8.26,yellowgreen
Project Design Life (Years),102.7589927,116.6268656,151.0980235,35,25,15,darkorange
