Component,Category,Value ($/kW),Fixed charge rate (FCR) (real),Value ($/kW-yr),Net AEP (MWh/kW/yr),Value ($/MWh)
Wind Turbine CapEx,Turbine,4000.839279,0.0668,267.2560638,2.846358634,93.89402328
BOS CapEx,Balance of System CapEx,2799.006136,0.0668,186.9736099,2.846358634,65.68870403
OpEx,OpEx,,,40.71128233,2.846358634,14.30293493
