Year,GPRA Trajectory,old GPRA Target,Actuals
2023,39,,39
2024,,,37.5
2025,,,
2026,,,
2027,,,
2028,,,
2029,,,
2030,,28,
2031,,,
2032,,,
2033,,,
2034,,,
2035,27,,
