Parameter,Residential,Commercial,Large,Units
Wind Turbine CapEx,"3,932","4,001","2,459",$2023/kW
BOS CapEx,"4,733","2,799",903,$2023/kW
Total CapEx,"8,665","6,800","3,362",$2023/kW
OpEx,41,41,41,$2023/kW/yr
