Parameter,Value ($/kW)
Total Turbine,"1,091"
Tower,276
Nacelle,477
Rotor,337
Total Balance of System,582
Wind Turbine Transport,194
Electrical Infrastructure,72
Assembly and Installation,100
Site Access and Staging,47
Foundation,120
Project Management,14
Eng. and Development,36
Total Soft Costs,295
Wind Turbine Warranty,130
Contingency,54
Construction Finance,111
Total CapEx,"1,968"
