Parameter,Value ($/kW)
Total Turbine,"1,770"
Turbine,"1,770"
Total Balance of System,"4,254"
Array System,301
Export System,171
Offshore Substation,243
Substructure,"1,541"
Mooring System,651
Installation,"1,058"
Project Development,123
Lease Price,167
Total Soft Costs,"1,325"
Construction Insurance,74
Decommissioning,184
Construction Financing,319
Procurement Contingency,307
Install. Contingency ,368
Commissioning,74
Total CapEx,"7,349"
