Parameter,Value ($/kW)
Total Turbine,"1,770"
Turbine,"1,770"
Total Balance of System,"2,629"
Array System,251
Export System,227
Offshore Substation,243
Scour Protection,25
Substructure,764
Project,123
Installation,830
Lease Price,167
Total Soft Costs,"1,012"
Construction Insurance,55
Decommissioning,145
Construction Financing,240
Procurement Contingency,228
Project Completion,55
Install. Contingency,289
Total CapEx,"5,411"
